Image ID	pxls/um
img_001,	345,
img_002,	270,
img_003,	270,
img_004,	165,
img_005,	415,
img_006,	270,
img_007,	210,
img_008,	210,
img_009,	210,
img_010,	210,
img_011,	210,
img_012,	210,
img_013,	330,
img_014,	210,
img_015,	168,
img_016,	168,
img_017,	210,
img_018,	85,
img_019,	105,
img_020,	168,
img_021,	327,
img_022,	327,
img_023,	210,
img_024,	168,
img_025,	168,
img_026,	168,
img_027,	270,
img_028,	555,
img_029,	330,
img_030,	690,
img_031,	330,
img_032,	420,
img_033,	170,
img_034,	420,
img_035,	460,
img_036,	460,
img_037,	460,
img_038,	575,
